slug,brand_name,primary_domain,first_seen_pass,discovery_source_url,discovery_source_quote,assigned_tier,tier_rationale,profile_status
10biosystems,10BioSystems,10biosystems.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Legacy defunct biotechnology company.",3,as-assigned (operator seed),pending
13therapeutics,13therapeutics,13therapeutics.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Institutional R&D drug development.",1,as-assigned (operator seed),pending
aavant-research,Aavant Research,aavantresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly rated RUO retail vendor.",2,as-assigned (operator seed),pending
abacus-diagnostica,Abacus Diagnostica,abacusdiagnostica.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct, integrated into Uniogen.",3,as-assigned (operator seed),pending
abata-therapeutics,Abata Therapeutics,abatatherapeutics.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct biotechnology supplier.",3,as-assigned (operator seed),pending
accelaminos,Accelaminos,accelaminos.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Long-tail Trustpilot supplier.",3,as-assigned (operator seed),pending
accelerate-labs,Accelerate Labs,accelerate-labs.us,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Miami-based retail vendor.",3,as-assigned (operator seed),pending
aileron-therapeutics-rein-therapeutics,Aileron Therapeutics (Rein Therapeutics),reintx.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Publicly traded biotech, rebranded.",1,as-assigned (operator seed),pending
aio-peptides,AIO Peptides,aiopeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Major retail vendor with 500+ reviews.",2,as-assigned (operator seed),pending
alpha-carbon-labs,Alpha Carbon Labs,alphacarbonlabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly trusted community supplier.",2,as-assigned (operator seed),pending
alpha-peptides,Alpha Peptides,alpha-peptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Emerging retail supplier.",3,as-assigned (operator seed),pending
altas-peptides,Altas Peptides,altaspeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure vendor flagged for poor quality.",3,as-assigned (operator seed),pending
amino-amigos,Amino Amigos,aminoamigos.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Top-rated Semaglutide supplier.",2,as-assigned (operator seed),pending
amino-asylum,Amino Asylum,aminoasylum.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: High-visibility, budget retail supplier.",2,as-assigned (operator seed),pending
amino-club,Amino Club,aminoclub.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Mid-sized bio-chemical supplier.",3,as-assigned (operator seed),pending
aminos-research,Aminos Research,aminosresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small-scale retail vendor.",3,as-assigned (operator seed),pending
aminova-peptides,Aminova Peptides,aminova.us,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Long-tail Trustpilot supplier.",3,as-assigned (operator seed),pending
apexpeptidesupply,Apexpeptidesupply,apexpeptidesupply.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure retail vendor.",3,as-assigned (operator seed),pending
arcane-peptides,Arcane Peptides,arcanepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Professionally developed RUO storefront.",2,as-assigned (operator seed),pending
arctic-peptides-llc,Arctic Peptides LLC,arcticpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Defunct due to Eli Lilly litigation.",2,as-assigned (operator seed),pending
ascend-amino,Ascend Amino,ascendamino.net,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Long-tail Trustpilot vendor.",3,as-assigned (operator seed),pending
astra-peptides,Astra Peptides,astrapeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
astro-peptides,Astro Peptides,astropeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Top-rated Finnrick vendor.",2,as-assigned (operator seed),pending
atomik-labz,Atomik Labz,atomiklabz.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Niche RUO supplier.",3,as-assigned (operator seed),ok
