channel_slug: google-ads
captured_at: 2026-05-06
captured_by: claude-code-subagent

# Evidence entries
# Format:
#   ID | type | vendor_slug_or_NA | url | accessed_iso | quote_or_observation | confidence (high/med/low)

E-GA-001 | google_policy | NA | https://support.google.com/adspolicy/answer/176031 | 2026-05-06 | Verbatim: "Google restricts the promotion of services related to the online prescribing, dispensing, and sale of prescription drugs." Verbatim: "Herbal and dietary supplements with active pharmaceutical or dangerous ingredients" prohibited. Verbatim: "Promotion of speculative and/or experimental medical treatments" not permitted. | high
E-GA-002 | google_policy | NA | https://support.google.com/adspolicy/answer/15597836 | 2026-05-06 | Verbatim: "Bulk drug manufacturers, medical professional suppliers, and suppliers of antibodies, peptides, and compounds for commercial labs may advertise in the following locations only:" — only Canada and US. Certification required at child-account level; the only Google Ads policy slot that uses the word "peptides" by name. | high
E-GA-003 | google_policy | NA | https://support.google.com/adspolicy/answer/15595718 | 2026-05-06 | Unapproved-substances catch-alls: "All items on this non-exhaustive list of unapproved pharmaceuticals and supplements"; products with "active pharmaceutical or dangerous ingredients"; products "with names similar to unapproved pharmaceuticals". The catch-all clauses are how research peptides are de-facto blocked even though specific compound names (BPC-157, TB-500, melanotan, thymosin, sermorelin) are not enumerated in the policy body. | high
E-GA-004 | google_policy | NA | https://support.google.com/adspolicy/answer/2430794 | 2026-05-06 | The Google Ads-monitored prescription-drug reference list explicitly contains semaglutide and tirzepatide. It does NOT contain BPC-157, TB-500, IGF-1/LR3, GHK/GHK-Cu, CJC-1295, ipamorelin, sermorelin, melanotan, or thymosin. Means GLP-1 names trigger automatic prescription-drug certification gating; classic research peptides fall under the catch-all unapproved-substances policy. | high
E-GA-005 | google_policy | NA | https://support.google.com/adspolicy/answer/15938075 | 2026-05-06 | Cloaking definition (verbatim): "Showing Google a landing page or an ad's destination that complies with Google Ads' policies while showing people different content." Also: "Tricking people into clicking on your ad by promoting a topic they're interested in and then leading them to a website for an entirely different topic". Listed under Circumventing Systems policy — account-termination class violation. | high
E-GA-006 | google_policy | NA | https://support.google.com/adspolicy/answer/15598647 | 2026-05-06 | "Google restricts the promotion of services related to the online prescribing, dispensing, and sale of prescription drugs." Lists "online pharmacies and telemedicine providers" as affected. Approved advertisers can bid on prescription-drug keywords in 22 designated countries after certification — this is the pathway compounded-GLP-1 telehealth uses. | high
E-GA-007 | google_policy | NA | https://support.google.com/adspolicy/answer/15595717 | 2026-05-06 | Restricted drug terms policy: "Google restricts the use of prescription drug terms in ads, landing pages, and keywords." US/Canada/NZ may use them with certification; other countries may not. Cross-references the prescription-drug reference list. | high
E-GA-008 | academic_paper | NA | https://pmc.ncbi.nlm.nih.gov/articles/PMC11742527/ | 2026-05-06 | Chetty et al, JAMA Health Forum 2025;6(1):e245018. Verbatim methodology: "Searches using brand and generic medication names were conducted using Google Shopping (Alphabet Inc); all websites appearing in Google's sponsored results were included." Found 98 unique websites selling GLP-1 RAs (79 compounded). "Most websites reported certification from LegitScript." Confirms compounded-GLP-1 vendors DO appear in Google Sponsored results — the only well-documented research-peptide-adjacent Google Ads activity. | high
E-GA-009 | academic_paper | NA | https://pmc.ncbi.nlm.nih.gov/articles/PMC12579337/ | 2026-05-06 | Companion JAMA paper using Semrush data on Ozempic.com paid search Apr 2022 - Mar 2024: "an estimated $7.5 million was spent on more than 15 000 paid keywords" generating "2.4 million paid visits to the drug's website." Spend extended to competitor terms ($302,757 on "Ozempic for weight loss"; $203,578 on Trulicity-related; $113,668 on Mounjaro-related). Demonstrates the only verified large-scale Google paid-search spend on peptide compounds is by approved-pharma brand pages, not by research-peptide vendors. | high
E-GA-010 | industry_data | NA | https://www.legitscript.com/about/press/problematic-peptides-legitscript-data-findings/ | 2026-05-06 | Verbatim: "In 2024, LegitScript observed 308% more ads related to problematic peptides than in 2023, and 678% more compared to 2022." Most-flagged compounds: "Melanotan, BPC-157, TB-500, PT-141, and GLP-1." Critical methodology gap: LegitScript does not break this number out by platform (Google vs. Meta vs. TikTok). | med
E-GA-011 | industry_secondary | NA | https://ppc.land/unapproved-peptides-ads-surge-208-as-marketplaces-see-276-sales-growth/ | 2026-05-06 | Secondary coverage of LegitScript data (Dec 13 2025): "Online advertisements for problematic peptides increased 208% in 2024 compared to 2023" across "online advertisements, social media channels, and e-commerce marketplaces." E-commerce marketplaces "276% growth rate" over five years; social media "75% more" YoY in 2024. | med
E-GA-012 | industry_marketing | NA | https://www.nexamed.us/post/how-to-market-peptides-in-2026 | 2026-05-06 | Verbatim claims by peptide-clinic marketing agency: "Meta and Google don't want anything to do with peptides." Google has "built systems specifically designed to stop you from advertising these products." "This is what makes traditional paid advertising for peptides nearly impossible." On landing-page detection: "if the landing page you send traffic to discusses peptides in any way, they will crawl that page, identify what you're doing, and ban your account." Recommended channel: "The answer is SEO." Source has commercial bias (sells SEO services). | med
E-GA-013 | industry_marketing | NA | https://yourpeptidebrand.com/google-ads-compliance-checklist-for-peptide-brands/ | 2026-05-06 | Vendor consultancy provides "compliant" template ad copy: headline "High-Quality Peptides for Research Use Only" / description "Guaranteed purity for reproducible lab results" — and approvable keyword examples "Research peptides for sale", "Synthetic peptides for lab use", "Peptide suppliers for research." Companion guide ("Beginner's Guide to Google Ads for Peptide Businesses") states "Compliance is the cornerstone of any RUO peptide marketing effort." Source provides NO actual case studies, no screenshots of approved campaigns, no CPCs — pure aspirational guidance. | low
