channel_slug: vendor-tiktok
captured_at: 2026-05-06
captured_by: claude-code-subagent

# Evidence entries
# Format:
#   ID | type | vendor_slug_or_NA | url | accessed_iso | quote_or_observation | confidence (high/med/low)

E-VTT-001 | tiktok_policy | NA | https://seller-us.tiktok.com/university/essay?knowledge_id=1399532709988097&lang=en | 2026-05-06 | Verbatim TikTok Shop Prohibited Products Policy (Medicines/Devices/Supplements section): "Products containing substances classified as 'performance-enhancing drugs' (PEDs) by the World Anti-Doping Agency (WADA) and United States Anti-Doping Agency (USADA). This includes, but is not limited to, anabolic steroids, peptide hormones, SARMs, and other agents used to enhance athletic performance or alter body composition beyond natural limits." Verbatim catch-all: "whether these substances are marketed as supplements, wellness products, or any other form." Implication: research-peptide vendors are structurally excluded from TikTok Shop seller storefronts; the "RUO" disclaimer does not buy a path in. | high

E-VTT-002 | tiktok_shop_search | peptide-sciences | https://shop.tiktok.com/us/k/peptide-sciences-review | 2026-05-06 | TikTok Shop search results for "peptide sciences review" return ONLY skincare and supplement-brand sellers: rhode skin (4.7 stars, 208K sold, 2.1M followers), PEScience (verified shop). Sample products: "Peptide lip shape bend" $27 by rhode, "PEScience Select Protein Powder" $17.27, "The Ultimate Peptide Protocols Bible" $15.99, "Sculpt It (PDRN & Peptides duo)" $82, "Peptide lip tint pbj" $22. NO research-peptide vendor listings. Confirms structural exclusion. | high

E-VTT-003 | tiktok_shop_search | biotech-peptides | https://shop.tiktok.com/us/k/biotech-peptide | 2026-05-06 | TikTok Shop search "biotech peptide" returns only beauty/cosmetic peptide products: Rhode Skin (4.7 stars, 2.1M followers), BIOSSANCE, Verb Products, NeoCell Collagen, Peak Performance Health. Sample: "Vivchews Liposomal Biotin + Collagen Peptides Liquid" $29.56, "Biossance Pro-Peptide Lip Perfector" $22-24, "NeoCell Liquid Multi Collagen Peptides" $32.57. NO research-peptide vendor presence. | high

E-VTT-004 | tiktok_shop_search | pure-rawz | https://shop.tiktok.com/us/k/pure-rawz | 2026-05-06 | Verbatim WebFetch finding: "Pure Rawz does not appear to operate their own official store on TikTok Shop ... These appear to be third-party retailers capitalizing on 'pure' keyword searches rather than official Pure Rawz brand listings." Sellers shown: BASED (haircare 50% off), Pure Encapsulations Shop, Dr. Melaxin, PureHealth Research. Pure Rawz is NOT a TikTok Shop seller. | high

E-VTT-005 | tiktok_shop_search | amino-asylum | https://shop.tiktok.com/us/k/amino-asylum-peptide | 2026-05-06 | Verbatim: "Amino Asylum is NOT a direct seller on TikTok Shop. The search results show third-party retailers only." Featured sellers: Optimum Nutrition Shop, COSRX US, BODYHEALTH. Sample products: "Asylum Cabinet D-Aspartic Acid" $22.40 by Insane Labz (unrelated brand). | high

E-VTT-006 | vendor_website_footer | behemoth-labz | https://behemothlabz.com/ | 2026-05-06 | Vendor's own website footer lists TikTok URL: "https://www.tiktok.com/@behemothlabzofficial" alongside Facebook, Instagram, X, and Discord. This is the ONLY anchor vendor in the universe whose own site links to a vendor-owned TikTok account. Site disclaimer (verbatim): "All products sold on this website are intended for research and identification purposes only. These products are not intended for human dosing, injection, or ingestion." | high

E-VTT-007 | vendor_website_footer | biotech-peptides | https://biotechpeptides.com/ | 2026-05-06 | Verbatim WebFetch finding: "No TikTok or other social media links found. The page contains no social media icons or links in the header, footer, or throughout the content." Site disclaimer (verbatim): "All products are sold for research, laboratory, or analytical purposes only, and are not for human consumption." Self-classification: "operates as a chemical supplier, not a compounding pharmacy or outsourcing facility under federal law." Brand has structurally opted OUT of all social media including TikTok. | high

